DATE,Per Capita,Immigration Count,Inflation,Construction,Purchasing,Rent,Target
2004-03-01,21462.009675,665468.75,1.5174750000000001,2196.9000000000005,53.4,439.9,144.08
2004-04-01,28616.0129,887291.6666666666,2.0233000000000003,2223.1,53.2,440.79999999999995,146.18
2004-05-01,35770.016125,1109114.5833333333,2.5291250000000005,2240.6,52.9,441.9,148.335
2004-06-01,42924.01935,1330937.5,3.0349500000000003,2253.0,52.7,444.9,150.518
2004-07-01,50078.022575,1552760.4166666665,3.5407750000000004,2277.9999999999995,52.8,446.2,152.33700000000002
2004-08-01,57232.0258,1774583.3333333333,4.046600000000001,2316.0,52.8,447.5,153.814
2004-09-01,64386.029025,1996406.25,4.552425,2318.2,52.7,448.3,155.108
2004-10-01,71540.03225,2218229.1666666665,5.058250000000001,2324.1,52.4,447.9,156.298
2004-11-01,78694.03547500001,2440052.083333333,5.564075000000001,2332.6000000000004,52.4,449.6,157.496
2004-12-01,85848.0387,2661875.0,6.0699000000000005,2331.8,52.5,450.4,158.67
2005-01-01,7535.450666666667,216025.41666666666,0.5515500000000001,2354.3999999999996,52.4,451.9,160.13
2005-02-01,15070.901333333333,432050.8333333333,1.1031000000000002,2368.8,52.1,453.0,161.924
2005-03-01,22606.352,648076.25,1.6546500000000002,2374.4,51.7,454.0,164.576
2005-04-01,30141.802666666666,864101.6666666666,2.2062000000000004,2378.9,51.4,455.8,166.99900000000002
2005-05-01,37677.253333333334,1080127.0833333333,2.7577500000000006,2379.6,51.4,457.1,169.544
2005-06-01,45212.704,1296152.5,3.3093000000000004,2379.9,51.4,459.20000000000005,172.015
2005-07-01,52748.15466666667,1512177.9166666665,3.8608500000000006,2383.2999999999997,51.2,461.1,174.09799999999998
2005-08-01,60283.60533333333,1728203.3333333333,4.412400000000001,2393.6000000000004,50.9,462.5,175.923
2005-09-01,67819.056,1944228.75,4.9639500000000005,2392.3999999999996,50.3,465.4,177.611
2005-10-01,75354.50666666667,2160254.1666666665,5.515500000000001,2403.4000000000005,50.2,467.5,178.752
2005-11-01,82889.95733333334,2376279.583333333,6.067050000000001,2420.7000000000003,50.6,469.5,179.673
2005-12-01,90425.408,2592305.0,6.618600000000001,2433.2,50.8,469.3,180.107
2006-01-01,7862.685391666666,188032.75,0.50655,2467.2,50.4,472.1,180.828
2006-02-01,15725.370783333332,376065.5,1.0131,2487.6,50.3,472.6,181.5
2006-03-01,23588.056174999998,564098.25,1.51965,2497.2000000000003,50.0,473.20000000000005,182.74900000000002
2006-04-01,31450.741566666664,752131.0,2.0262,2508.1000000000004,49.6,473.9,183.648
2006-05-01,39313.42695833333,940163.75,2.5327499999999996,2520.7,49.4,475.4,184.38
2006-06-01,47176.112349999996,1128196.5,3.0393,2536.2999999999997,49.3,478.3,184.547
2006-07-01,55038.79774166666,1316229.25,3.5458499999999997,2559.8,49.1,479.79999999999995,184.608
2006-08-01,62901.48313333333,1504262.0,4.0524,2568.9999999999995,49.0,481.6,184.405
2006-09-01,70764.16852499999,1692294.75,4.558949999999999,2571.2,49.3,483.29999999999995,184.19799999999998
2006-10-01,78626.85391666666,1880327.5,5.065499999999999,2566.2999999999997,49.5,482.4,184.054
